직무명,회사명,위치,경력,주요업무,자격요건,우대사항
[아정당] 데이터 애널리스트/ 데이터 분석가(마케팅),아정네트웍스,서울 강남구,경력 3년 이상,"주요업무
■ 담당하시게 될 일을 소개합니다.
• 마케팅 성과 분석 및 인사이트 발굴
• 마케팅 기존 프로세스 개선 및 신규 지표 개발, 관리
• 객관적 데이터 분석에 기반한 협업부서의 문제 해결 및 의사결정을 위한 분석
• 경영진 및 협업부서의 의사결정을 위한 비즈니스 인사이트 도출 및 시각화 리포팅","자격요건
■ 이런 분과 함께 일하고 싶습니다.
• 대졸 이상 / 경력 만 3년 이상
• 데이터 전처리, SQL, 빅쿼리, GA4, 데이터 시각화(태블로, 루커 등) 툴 활용 능력이 있으신 분
• 데이터를 다루는데 익숙하고, 데이터 시각화에 대한 경험이 있는 분
• 분석 결과를 효과적으로 전달할 수 있는 커뮤니케이션 역량을 갖춘 분
• 빠르게 변화하는 비즈니스 환경에 부합하는 업무 우선순위에 대한 판단력으로 멀티태스킹이 가능하신 분
• GA4, MMP, CRM 활용능력이 있으신 분","우대사항
■ 이런 경험이 없으셔도 전혀 상관없습니다. 있으시면 너무 좋을 것 같습니다.
• 데이터 드리븐 환경 구축 및 설계 경험이 있으신 분
• 의사결정권자에게 정기적으로 분석 리포트를 작성해본 경험이 있는 분
• 통계 모델링/수리 모델링 기반 분석 프로젝트 경험이 있는 분
• 관련 분야 재직 이력 또는 학위(전산, 통계, 머신러닝, 수학, 알고리즘 등)가 있는 분
• 그로스, CRM 디지털 퍼포먼스 마케팅 인사이트를 바탕으로 비즈니스를 성장시켜본 경험이 있으신 분"
데이터 분석가(DA) (2년차 이상),와이피랩스(커넥팅),서울 강남구,경력 2-15년,"주요업무
- 커넥팅 서비스 유저들의 행동 Data를 정제/가공/적재하며, 대시보드와 리포트 작성
- 프로덕트 팀이 Data-driven한 의사결정을 할 수 있도록 정량적 수치와 분석 결과를 제공
- 가설 검증을 위한 A/B 테스트를 설계하고 데이터 로깅 방식 제안
- 데이터 분석을 통한 A/B 테스트 및 스프린트 결과 인사이트를 도출 및 서비스 적용
- 프로덕트팀/마케팅팀/서비스 운영 팀 등 다양한 유관 부서와 협력 하며 비즈니스 문제 정의 및 해결을 위한 가설 수립","자격요건
- 최소 2년 이상의 데이터 분석 경력 혹은 그에 준하는 역량과 이해
- 커넥팅이 해결하려고 하는 문제에 깊이 공감하고, 이를 해결하기 위해 함께 고민하실 수 있는 분
- 공유와 소통의 중요성을 이해하고 실천할 수 있는 분
- 팀 플레이어로서 본인의 기준과 노하우가 있는 분
- SQL을 통해 데이터를 추출하고 정제할 수 있는 분
- 모바일 서비스 데이터 분석 방법(Customer Lifetime Value, Retention, Cohort Analysis 등)에 대한 높은 수준의 이해
- 지표의 성장을 위해 다양한 가설을 설정해보고 실험하여 직접 서비스를 개선해보신 분
- 사용자 Funnel 및 A/B 테스트에 대한 높은 이해도를 가지고, 이를 위한 데이터 설계 및 분석이 가능한 분","우대사항
- 제품 관련된 최상위의 의사 결정에 대한 갈증이 있으신 분
- 문제 해결을 위해 자신이 생각한 가설들을 마음껏 검증해보고 싶으신 분
- Agile 방법론 혹은 Lean Process에 대한 경험이 있으신 분
- Data Warehouse 구축 지식이나 경험이 있으면 좋아요.
- 데이터 시각화(Redash, Tableau, Superset 등)에 대한 경험이 있으면 좋아요.
- 비즈니스 레벨 이상 영어능력(Verbal/Written)"
"[산업기능요원(병역특례, 보충역)] 데이터 분석가(DA)",와이피랩스(커넥팅),서울 강남구,경력 2-15년,"주요업무
- 커넥팅 서비스 유저들의 행동 Data를 정제/가공/적재하며, 대시보드와 리포트 작성
- 프로덕트 팀이 Data-driven한 의사결정을 할 수 있도록 정량적 수치와 분석 결과를 제공
- 가설 검증을 위한 A/B 테스트를 설계하고 데이터 로깅 방식 제안
- 데이터 분석을 통한 A/B 테스트 및 스프린트 결과 인사이트를 도출 및 서비스 적용
- 프로덕트팀/마케팅팀/서비스 운영 팀 등 다양한 유관 부서와 협력 하며 비즈니스 문제 정의 및 해결을 위한 가설 수립","자격요건
- 최소 2년 이상의 데이터 분석 경력 혹은 그에 준하는 역량과 이해
- 커넥팅이 해결하려고 하는 문제에 깊이 공감하고, 이를 해결하기 위해 함께 고민하실 수 있는 분
- SQL을 통해 데이터를 추출하고 정제할 수 있는 분
- 모바일 서비스 데이터 분석 방법(Customer Lifetime Value, Retention, Cohort Analysis 등)에 대한 높은 수준의 이해
- 지표의 성장을 위해 다양한 가설을 설정해보고 실험하여 직접 서비스를 개선해보신 분
- 사용자 Funnel 및 A/B 테스트에 대한 높은 이해도를 가지고, 이를 위한 데이터 설계 및 분석이 가능한 분
- 산업기능요원(보충역/전직) 이 가능하신 분","우대사항
- 제품 관련된 최상위의 의사 결정에 대한 갈증이 있으신 분
- 문제 해결을 위해 자신이 생각한 가설들을 마음껏 검증해보고 싶으신 분
- Agile 방법론 혹은 Lean Process에 대한 경험이 있으신 분
- Data Warehouse 구축 지식이나 경험이 있으면 좋아요.
- 데이터 시각화(Redash, Tableau, Superset 등)에 대한 경험이 있으면 좋아요.
- 비즈니스 레벨 이상 영어능력(Verbal/Written)"
Senior/Staff Data Scientist - Growth Analytics,몰로코,서울 강남구,경력 5-20년,"주요업무
Moloco Senior Data Scientist - Growth Analytics contributes in the following areas, all while working cross-functionally to help meet our client’s needs and advance our machine learning models.

- Data Analysis: data gathering, analysis, and effective communication of presentations and recommendations to multiple levels of stakeholders. You’ll be responsible for creating custom visual displays of quantitative information through writing queries, and scripts, and developing automated reports and dashboards to provide insights at scale.

- Data validation: verifying the data we obtain from ad exchanges and mobile-app tracking solutions to confirm our campaign models are trained with the most accurate engagement data.

- Campaign optimization: engaging in the life cycle of campaigns, from monitoring daily performance to partnering with sales teams on bespoke analysis for clients.

- Business Collaboration: collaborate with key stakeholders to help Moloco focus on decisions that improve our products and services, with a focus on client growth.","자격요건
• Master's degree or equivalent practical experience.
• 5+ years of experience working with statistical packages (e.g., Python, SQL).
• Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analyses such as regression or time-series analysis.
• Programming: experience in Python and SQL is required.
• Comfortable balancing multiple projects simultaneously and effectively prioritizing work based on business needs.
• Excellent verbal and written communication skills, with the ability to present information and analysis results effectively to technical and less technical stakeholders (including Moloco end clients).
• Ability to build positive relationships within the data science & analytics community, as well as with our business stakeholders and clients.,
• Work effectively with cross-functional and cross-cultural partners.
• Have an interest in data, metrics, analysis, and trends from the mindset of helping a customer-centric business. Know when to apply statistical measurement vs 80-20 analysis for business growth.
• Fluent in speaking and writing both Korean and English.","우대사항
• Ph.D. degree in a quantitative discipline.
• Ability to manage multiple projects at the same time while paying attention to detail.
• Distinctive problem-solving skills, good at articulating product and business questions, pulling data from large datasets, and using statistics to arrive at a recommendation.
• Proven ability to own projects end-to-end, even when you have to get creative: you do more than complete delegated tasks.
• Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.
• Ability to seek out new business questions and effectively scope projects to support client growth, re-engagement, and overall campaign strategy and performance."
데이터 분석가(3년차),단색,서울 마포구,경력 3-4년,"주요업무
• 온라인 커머스 고객 데이터를 기반으로 데이터 추출, 분석하여 고객 행동에 대한 가설을 검증하고 분석된 결과를 통한 인사이트 도출
• 내부, 외부적인 데이터들을 활용해 데이터를 분석하고 서비스 현황 및 성과 분석을 위한 대시보드 설계 및 비지니스 성장을 위한 플랜 제안
•제품 판매량 및 생산 발주 주기를 기반으로 파생되는 데이터 축적 및 신제품 기획 및 개선 사항 제안 및 발주 시스템 설계
•판매 현황 및 성과 분석을 위한 KPI를 기획","자격요건
• 1년 이상 커머스 웹 기반으로 고객 행동 (DB,LOG) 데이터 분석을 통한 서비스 개선 경험
• 데이터 처리를 위한 언어 (SQL, Python 등) 2개이상을 사용 가능하신 분
• 사용자 행동 데이터 분석을 통해 인사이트를 얻고 개선점을 찾아 서비스 적용해본 경험이 있으신 분
• 빠르게 변화하는 환경에서 서비스에 대한 열정을 가지고 주도적으로 업무를 이끌어 가시는 분","우대사항
• 커머스 경험을 해봤거나 전반적인 이해가 가능하신 분
• 동료들과 원활한 협업 및 커뮤니케이션이 가능하신 분
• 주도적으로 업무를 수행할 수 있으신 분
• SQL, Python 언어를 활용한 데이터 프로세싱에 대한 이해도가 높으신 분
• 데이터 시각화에 대한 경험이 풍부하신 분
• 데이터 분석 관련학과(통계, 산업공학, 수학과 등) 석사 이상"
"[Coupang] Staff, Data Analyst (Eats Strategy)",쿠팡,서울 강남구,경력 6-20년,"주요업무
• 도메인 지식을 통해 Coupang Eats 전체조직(배달 운영부터 판매자 운영까지)에 걸쳐 다양한 프로젝트 진행 (다양한 분석툴 개발, 데이터기반 구축 등, 선도 프로젝트 포함)
• Coupang Eats의 전반적인 성장과 비지니스현황에 대한 오너십을 갖고, 이해관계자 및 비즈니스 리더와 협력하여 새로운 사업기회와 개선영역을 파악
• 비즈니스 요구와 우선순위에 대한 이해를 바탕으로 운영 및 판매자 데이터를 심층적으로 분석하고사업확장 방법을 파악
• 단순보고 및 데이터 시각화 업무부터, 고객의 행동 및 비지니스 동향을 파악하고 비지니스적 의사결정을 도울 수 있는 복잡한 모델생성 업무까지 다양한 프로젝트 진행
• 기술적인 부분을 모르는 이해관계자에게 분석결과를 효과적이고 간결하게 공유할 수 있는 커뮤니케이션 진행","자격요건
• Business Analyst, Data Analyst, FP&A, Data Scientist 등 데이터 분석 기술을 필요로하는 업무 약 5-8년 이상의 경험
• Excel, Tableau, Power BI와 같은 데이터 시각화 툴 5년 이상 사용 경험
• 대규모 사업부의 성과 및 분석 담당 경험
• SQL/HQL 전문지식과 ETL 및 dimensional modeling 경험
• 분석적이고 디테일에 강하며, 비즈니스 감각이 있으신 분
• 업무의 우선 순위를 효율적으로 정하고, 빠르고 역동적인 환경에서 효과적인 결과를 달성할 수 있는 역량 (멀티테스킹 역량)","우대사항
• 정량분야의 학사 (STEM, Finance, Economics, Statistics)
• 공학 및 비지니스 학위 (석/박사 or MBA)
• Python을 사용한 실무 경험자
• 이커머스, 음식배달업계, 또는 IT 산업 경험자
• 데이터 분석 관련 팀의 팀장 경험"
Senior Data Scientist - Ads Performance,몰로코,서울 강남구,경력 3-20년,"주요업무
• Data Analysis and research: analyzing a large dataset with queries and scripts, extracting valuable signals out of noise, and producing actionable insights into how we could complete and improve Moloco’s complex ML and bidding system.
• Simulation and Modeling: validating and quantifying the efficiency and performance gain from hypotheses through rigorous simulation and modeling.
• Experimentation and Causal Inference: developing a robust experiment design and metric framework, and providing reliable and unbiased insights for product and business decision making.","자격요건
• Bachelor’s degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering).
• 3+ years of work experience in data science-related fields or an advanced degree such as a Master’s or Ph.D. in a quantitative discipline with 2+ years of experience
• Distinctive problem-solving skills, good at articulating product questions, pulling data from large datasets, and using statistics to arrive at a recommendation.
• Excellent verbal and written communication skills, with the ability to present information and analyze results effectively.
• Ability to build positive relationships within DSA and with our stakeholders and work effectively with cross-functional partners in a global company.
• Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analysis techniques such as regression or linear models.
• Machine Learning: must have a deep understanding of ML algorithms (i.e., deep learning, random forest, gradient boosted trees, k-means clustering, etc.) and their development, validation, and evaluation.
• Programming: experience with Python, R, or other scripting languages, and database language (e.g., SQL) or data manipulation (e.g., Pandas, Dplyr) are required.","우대사항
• Advanced degree such as Master’s or PhD in a quantitative discipline.
• Ability to manage multiple projects at the same time while paying attention to detail and translating analysis results into business recommendations.
• Proven ability to own projects end-to-end, even when you have to get creative: you do more than complete delegated tasks.
• Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques."
데이터 분석가,중앙일보,서울 마포구,경력 5-10년,"주요업무
• 문제 정의, 가설 설정, 실험 설계
• 분석 모델링 및 지표 분석, EDA
• 의사결정을 위한 인사이트 도출 및 리포팅
• 시각화툴을 활용한 대시보드 기획 및 제작","자격요건
• 비즈니스 문제 정의와 가설 수립 및 검증까지의 단계를 설계하실 수 있는 분
• SQL을 사용한 데이터 추출이 가능하신 분
• 통계 및 분석 기법을 활용하여 조직 내 Action plan 제시가 가능하신 분
• 분석 결과 전달을 위한 시각화 및 문서화 역량을 갖추신 분","우대사항
• 중급 이상의 통계학 및 수학 지식을 가지신 분
• 언론사 및 콘텐트 비즈니스, 미디어 업계에 대한 업무 경험을 가지고 계신 분"
마케팅 데이터 분석 담당자,넷마블,서울 구로구,경력 2년 이상,"주요업무
• 넷마블 게임 데이터를 활용한 고도화된 분석 서비스 개발
• 마케팅 목표 달성 및 효율 극대화를 위한 데이터 기반 맞춤 전략 수립
• 머신러닝 기반 마케팅 의사결정 지원 모델 구축
• 분석 결과를 대시보드로 시각화하여 마케팅 인사이트 제공","자격요건
• 통계학과, 수학과, 컴퓨터사이언스 등 관련 전공 석사 이상 보유자
(통계학, SQL, Python 관련 지식 보유자)","우대사항
• ML 또는 통계 기반의 데이터 분석 및 모델링 경험 보유자
• Tableau, Looker Studio, 퍼블릭클라우드(GCP, AWS, Azure) 경험자"
게임 이상탐지 데이터분석가,넷마블,서울 구로구,경력 1년 이상,"주요업무
□ 게임 이상탐지 서비스 개발
- 어뷰징 행위 탐지를 위한 게임로그 탐사분석
- ML 기반 어뷰징 행위 탐지 모델 구현
- 탐지 시스템 운영 효율화 및 고도화","자격요건
• ML 관련 분야 경력 1년 이상
• SQL, Python 사용 가능
• Tensorflow 또는 상응하는 라이브러리 활용 경험","우대사항
• 컴퓨터공학 또는 산업공학 관련 전공
• 클라우드 환경 경험"
[서울/3년 이상] 데이터분석팀 - 게임 데이터 분석가,트리노드,서울 강남구,경력 3-10년,"주요업무
• 게임 로그를 기반으로 한 데이터 분석 및 지표 설계
• 비즈니스 인사이트 발굴 및 제안
• 각종 예측 모형 개발 및 운영
• 머신러닝 및 데이터 시각화","자격요건
• 다양한 이해 관계자와의 원활한 소통을 통해 분석 요구 사항을 구체화하고 정리하는 능력
• 게임 또는 IT 기반 실무 데이터 분석 경험
• 통계 지식을 바탕으로 데이터 모델링, 지표 설계 및 검증 능력
• R, python, scala, sql 등을 활용한 데이터 클렌징, 핸들링, 추출, 분석 역량
• 주도적으로 가설 수립 및 실험 설계가 가능하고 효과를 검증하여 결론을 도출하는 논리적 사고 능력
• 다양한 데이터 시각화 도구(Tableau, Mixpanel 등)를 활용한 리포팅 경험","우대사항
• 데이터 마이닝 및 머신러닝 관련 지식 보유자
• 자신이 모르는 분야에 대한 학습에 대해 두려움이 없으신 분
• 대용량 데이터 처리 경험
• hadoop 및 eco system(spark, hive, impala 등) 활용 경험
• RDBMS 또는 NoSql 활용 경험
• BI 활용 경험
다양한 퍼즐 게임 경험"
[삼쩜삼] Data Analyst,자비스앤빌런즈(삼쩜삼),서울 강남구,경력 3-10년,"주요업무
• 삼쩜삼 프로덕트 전반에 대한 분석업무를 진행합니다.
• 통계, 머신러닝 등을 활용해 프로덕트를 개선합니다.

[합류시, 이런 성장의 기회를 만나볼 수 있어요.]
• 삼쩜삼의 2천만명이 넘는 회원이 만들어낸 방대한 데이터셋을 분석하며 분석역량을 강화할 수 있어요.
• 통계, 머신러닝 기술을 적용하여 프로덕트를 개선하고 새로운 피쳐를 만들어내는 경험을 할 수 있어요.","자격요건
• SQL로 원하는 데이터를 자유롭게 추출할 수 있는 능력
• 문제 해결 능력
-논리적 사고를 바탕으로 문제를 정의하는 역량
-명확하고 객관적인 결론 도출 능력
-분석 결과를 기반으로 액션 아이템을 제안하고 문제를 해결할 수 있는 능력
• 분석 결과를 쉽고 정확하게 전달하는 커뮤니케이션 능력
• 업무 요청에 적극적으로 대응하고, 주도적으로 업무를 이끌어 나갈 수 있는 태도
• 데이터 분석 3년 이상의 경력 또는 그에 준하는 경력","우대사항
• 기본적인 파이썬 활용이 가능한 분
• 퍼널, 코호트 등 유저 분석이 가능한 분
• 머신러닝에 대한 이해도가 있으신 분
• A/B 테스트에 대한 이해를 바탕으로 실험을 설계하고 결과를 해석할 수 있는 분
• 인과추론에 대한 이해도가 있으신 분

[삼쩜삼 데이터 분석 챕터는 이렇게 일하고 있어요.]
• DA 챕터는 프로덕트 조직에 속해있으며 프로덕트, 마케팅, 고객을 분석해 더 나은 서비스를 만들고 있습니다.
• 구체적으로는 OKR 지표 제안, 서비스 및 마케팅 지표 정의 및 트래킹, 인과관계 추론을 통한 서비스 및 정책 개선, 머신러닝 모델을 활용한 피쳐 개발 등 다양한 작업에 참여합니다.
• 구성원 간 수평적인 구조에서 자유롭게 의견을 논의합니다. 합의된 사항은 프로토콜로 만들어 함께 지키고 있습니다.

[삼쩜삼 데이터 분석 챕터가 속해있는 데이터 트라이브에 대해 소개해드려요.]

• 데이터 트라이브는 데이터 기반 의사결정과 성장을 지원하기 위해 데이터를 수집, 분석, 관리하고 있어요.
• 데이터 플랫폼 구축, 데이터 품질 관리, 분석 도구 제공을 통해 조직 전반에 걸쳐 효율적인 데이터 활용을 촉진해요.
• 이러한 노력을 통해 모든 팀이 신뢰할 수 있는 데이터에 기반한 인사이트를 얻고, 더 나은 비즈니스 결정을 내릴 수 있도록 지원하고 있어요.
• 또한 AI용 모델 개발과 ML/DL/LLM 인프라를 지원하여 모든 서비스 자동화를 가능하게 해요.

[서류는 이렇게 제출해 주세요.]
• 지원서류 : 자유양식의 국문 이력서(필수), 포트폴리오(필수)
• 포트폴리오 제출시 아래 내용이 포함되어 있으면 좋아요.
• 문제 정의, 가설 수립, 실험 설계, 결과 해석, 개선
• 제출하시는 서류는 원활한 검토를 위해 PDF 형식으로 제출해 주세요.
• 해당 공고는 수시 채용으로, 채용 완료 시 조기에 마감될 수 있습니다.
• 입사지원 서류에서 허위기재 사실이 발견될 경우, 입사가 취소될 수 있습니다.

[합류 여정에 대해 안내 드려요.]
• 서류 전형 - 1차 인터뷰 - 2차 인터뷰 - 최종 합격
• 지원자의 이력 및 경력 사항에 따라 일부 면접 과정이 생략되거나 추가될 수 있습니다.

[지원 시 참고해 주세요.]
• 해외여행 결격 사유가 있을 시, 입사가 취소될 수 있습니다.
• 필요시 회사는 귀하가 제공하시는 이력서를 기초로 평판조회(레퍼런스 체크)를 시행할 수 있습니다. 이에 동의하시는 경우 이력서를 제출해 주세요.
• 입사 후 3개월간의 온보딩(수습 기간)이 진행됩니다. 온보딩 기간 동안의 급여는 100% 지급됩니다.

[삼쩜삼의 다양한 서비스를 소개해 드려요.]

삼쩜삼
1) 삼쩜삼 환급
• 세무사의 도움 없이도 개인이 간편하게 종합소득세 신고를 하고, 최대 환급금을 받을 수 있도록 도와주는 대표 서비스에요.
2) 가족 환급
• 가족 구성원이 각각 개별로 종합소득세 신고할 때 보다 가족이 모여 함께 신고하면 '더 많은 환급금'을 만들 수 있어요. 수만가지 가족별 공제 조합을 계산해보고 최적 조합을 찾아내서 최대 환급금을 찾아주는 서비스를 만들고 있어요.
3) 종합소득세 정기/기한후 신고
• 종합소득세 신고가 필요한 고객과 세무 전문가를 위한 정기 및 기한 후 신고 서비스로, 복잡한 세금 신고를 간편하게 해결해드리는 서비스에요.
4) 부가가치세 정기 신고(사업자 고객)
• 부가가치세 신고 의뢰하는 사업자고객들을 위한 정기 신고 서비스에요.
5) 신규 서비스 발굴
• 고객의 일상에서 돈을 찾아주는 다양한 신규 서비스를 만들고 있어요. 예를 들어, 놓친 병원비를 찾아주는 서비스나 리워드 프로그램을 통해 고객이 실질적인 혜택을 받을 수 있도록 도와드려요.

TA(세무사 신고 서비스)
1) 부가가치세 정기 신고(세무 전문가)
• 부가가치세 신고를 처리하는 세무전문가를 위한 정기신고 서비스에요.
2)종합부동산세 경정청구
• 지난 5년간 납부한 종합부동산세의 과오납 여부를 검토하고, 환급받을 수 있는 경정청구 신고 서비스를 만들고 있어요.
3) 사업자 홈
• 사업자 고객이 사업을 운영하며 도움이 되는 모든 것을 맞춤으로 제공하는 서비스를 만들고 있어요.

글로벌
• 일본을 시작으로, 해외 근로자들이 놓친 세금 환급금을 찾아주는 글로벌 서비스를 만들고 있어요."
게임 데이터 분석 담당자,넷마블,서울 구로구,경력 2년 이상,"주요업무
• 게임 론칭 및 운영 분석 리포트 발행
• 게임 장르별 BM 분석 리포트 발행
• 게임 데이터 기반의 통계분석 및 예측모델 개발","자격요건
• 관련 분야 경력 2년 이상
• SQL, Python 사용 가능
• 게임 도메인 지식 보유
• 원활한 커뮤니케이션 능력","우대사항
• 컴퓨터공학 또는 산업공학 관련 전공
• 클라우드 환경 경험"
[채널톡] 데이터 분석가,채널코퍼레이션,서울 강남구,경력 2-8년,"주요업무
• 프로덕트/비즈니스 팀과 유기적으로 협업하며 목표 달성을 가능하게 하는 데이터 기반 인사이트를 제공합니다.
• 최적의 데이터 시각화 방식을 기획하고 팀의 무기가 될 대시보드를 제공합니다. 태블로, Redash, 구글 스프레드 시트를 주로 활용하고 개발팀과 협업해 접근성이 더 높은 내부 어드민툴에 녹이기도 합니다.
• 분석에 필요한 데이터는 가장 효율적인 방식으로 적재시킵니다. Big Query 기반의 분석용 데이터 마트를 기획하고 데이터 엔지니어링 팀과 협업하여 구현합니다.
• 수집되지 않고 있는 주요 데이터가 있다면 개발팀과의 협업 및 외부 툴 도입을 통해 데이터를 쌓습니다. Amplitude와 같은 유저 행동 분석 툴을 도입하여 트렉킹될 이벤트를 기획하고 대시보드를 제작합니다.
• 데이터를 기반으로 한 최적의 의사결정이 필요한 여러 팀들과 유기적으로 협업합니다. 그 중 세일즈팀, 마케팅팀, 프로덕트팀, 재무팀과의 협업이 많습니다.","자격요건
• 채널톡은 국내에서 독보적인 성장을 만들고 있는 B2B SaaS 서비스로, 레퍼런스가 없는 문제들을 계속 만나고 있어요. • 탁월한 문제해결을 위해서 무엇보다도 빠르게 제대로 배울 수 있는 분을 찾고 있습니다.
• 집요하게 파고드는 성향, 탄탄한 기초지식, 빠른 러닝커브를 갖추신 분
• 3년 이상의 데이터 분석 경력을 보유하거나 그에 준하는 경험 혹은 역량을 갖추신 분
• 높은 수준의 SQL 숙련도를 보유하신 분
• BI 도구(엑셀, Tableau, Redash 등)를 활용한 시각화 작업에 능숙하신 분
• 복잡한 현상에서 단순한 핵심을 찾아낼 수 있는 높은 수준의 논리적 사고력을 갖추신 분
• 대내외 협업 및 커뮤니케이션에의 탁월함을 갖추신 분
• 문제 해결에 있어 자기주도 임팩트를 만드는 것을 중요한 가치로 생각하시는 분","우대사항
• B2B SaaS 서비스 분석 경험이 있는 분
• 다양한 직군의 동료들과 함께 서비스나 업무 프로세스에 실질적인 변화를 만들어 본 경험이 있는 분
• Data Warehouse 구축 지식이나 경험이 있으신 분"
Data Scientist,여기어때컴퍼니,서울 강남구,경력 5-12년,"주요업무
• 데이터 및 머신러닝의 기본적인 이해와 통계적 지식을 바탕으로 비즈니스 현황 분석 및 인사이트 도출 지원
• 고객 행동 데이터를 분석하여 고객 이해도를 높이고, 프로덕트 및 마케팅 실행 방안 제안
• 통계적 접근 방식, 알고리즘, ML/DL, AI 도구를 활용한 추천/예측/타겟 식별 등 서비스 개선 과제 참여
• Data-Driven 의사 결정을 위한 지표 개발 및 데이터 시각화 툴 제공
• 다양한 부서와 협업하여 데이터 기반 솔루션 도출 및 비즈니스 문제 해결 기여
• 데이터 분석 및 머신러닝 관련 최신 기술 도입/적용","자격요건
• 통계 분석, 추천/예측 모델링, ML/DL 활용 등 5년 이상 데이터 분석 관련 영역 경험이 있는 분
• 퍼널 분석, 리텐션 분석, 코호트 분석 등 프로덕트 데이터 분석 방법에 대한 이해도가 높은 분
• 서비스 핵심 지표를 설정하고, 지표 성장을 위해 다양한 가설을 세우고 실험하여 직접 서비스를 개선한 경험이 있는 분
• 대규모 데이터 세트 관리, 패턴을 발견하기 위해 데이터 분석, 데이터 시각화 도구 사용 및 모델 생성 경험이 있는 분
• 유연성, 추진력 및 신뢰성과 같은 좋은 태도와 함께 비즈니스에 대한 이해가 높은 분","우대사항
• 데이터를 활용해 복잡한 문제를 해결하는 데 능숙한 분
• Tableau 등과 같은 보고 도구에 대한 깊은 이해 및 SQL, Python, R 등 분석 프로그램 활용에 능숙한 분
• 고객 행동 데이터 등 대용량 데이터 분석 및 활용 경험이 있는 분
• ML/DL을 활용한 모델 개발 및 모델의 실제 서비스 적용/운영 경험과 TensorFlow, PyTorch 등 모델링을 위한 프레임워크 활용 경험이 있는 분
• 데이터 분석, 머신러닝 경진대회 수상 경력을 보유한 분"
[워터] 데이터 분석,브라이트에너지파트너스,서울 종로구,경력 2-10년,"주요업무
•전기차 충전소 운영 데이터 수집, 정제 및 분석과 시뮬레이션
• 전기차 충전소 매출 및 사용 패턴 분석을 통한 인사이트 도출
• 경영진을 위한 전기차 충전소 운영 보고서 및 기타 시각화 자료 작성
• 데이터 시각화 도구 (Tableau, Power BI 등) 활용한 리포트 작성","자격요건
• 비즈니스 데이터 관리 및 분석 관련 경력 2년 이상
• 데이터 시각화 도구 사용 경험 보유 (Tableau, Power BI 등)
• Python, SQL을 적극 활용 가능하며, 다양한 형태의 데이터를 다룰 수 있는 역량과 경험
• 포트폴리오 제출 필수","우대사항
• 통계학 또는 데이터 사이언스 관련 학위를 보유한 분
• 실시간 데이터 처리 파이프라인을 설계 및 구축하고, 운영한 경험이 있는 분
• 데이터 분석을 통해 실제 서비스 가치 향상에 기여한 경험이 있는 분
• 다양한 직군의 동료들과 커뮤니케이션하고 협업하여 결과를 만들어 내실 수 있는 분
• 모빌리티 업계에 대한 관심이 높으신 분
• 전기차를 타시는 분"
금융 데이터 사이언티스트 / DATA SCIENTIST,앤톡(Antock),서울 성동구,경력 2-5년,"주요업무
수행업무 :

ML/DL 모델 구현 및 평가:
• 학습 및 평가 데이터를 설계, 구축하고, 이를 기반으로 자연어 처리(NLP) 모듈을 개발하여 기업 관련 문서에서 기술 키워드를 추출하는 알고리즘을 설계 및 구현

기술 키워드 추출 및 기업 발굴:
• 기업 관련 텍스트 데이터에서 주요 기술 키워드를 추출하고, 이를 통해 해당 기술을 보유한 기업을 발굴하는 작업

모델 성능지표 설계 및 자동화:
• 추출된 키워드의 정확도 및 효율성을 측정하기 위한 성능지표를 설계하고, 이를 기반으로 전체 모델 학습 및 평가 프로세스를 자동화

데이터 구축 및 운영:
• 기업 기술 정보와 관련된 데이터 구축 가이드를 작성하고, 이를 실제 운영 과정에 적용하여 데이터 품질을 지속적으로 관리

PoC(기술 검증) 참여:
• 다양한 금융 기관과의 기술 검증(PoC) 작업에 참여하여, 알고리즘의 실용성과 효용성을 확인

기업평가 모형 개발 보조:
• 기업 기술 분석 결과를 바탕으로 기업 평가 모형 개발을 지원


기술스택 :

• Tool : Python
• DBMS : SQL, MongoDB
• Library : NumPy, Pandas, Scikit-Learn, PyTorch, TensorFlow 등
• Skills : 자연어 처리(NLP), 머신러닝/딥러닝 모델 설계 및 구현, 데이터 전처리 및 분석","자격요건
• 학력 : 대졸 이상 (4년)
• 전공 : 데이터사이언스, 수학/통계학, 경영학, 공학 계열 등 유관 학위 소유자
• 기술 : Python, SQL
• 경력 : 2년 이상 (필수)","우대사항
• 인공지능(AI) 프로젝트 수행 경험(자연어 처리, 분류 알고리즘)
• 딥러닝 라이브러리 사용 경험(PyTorch, TensorFlow 등)
• NLP 논문 작성 및 구현 경험
• 모델 학습부터 배포까지의 파이프라인 구축 및 운영 경험
• DBMS : PostgreSQL, Oracle 활용 가능자
• 석사학위, 박사학위 수여자
• 빅데이터 분석기사, 데이터분석(준)전문가, SQLD, 신용분석사, 공모전 입상자, 영어능통자"
